Values: [Hand structure (body structure), Hand structure]; time elapsed: 1054 millisec.
Values: [Entire lung (body structure), Entire lung]; time elapsed: 1021 millisec.
Values: [307113009]; time elapsed: 1965 millisec.
Values: [766776008, 763836003, 417551008, 373216001]; time elapsed: 2330 millisec.
Values: [758640006, 117590005]; time elapsed: 3452 millisec.
Values: [true]; time elapsed: 5420 millisec.
Values: [Left ear structure (body structure), Left ear structure]; time elapsed: 5641 millisec.
Values: [Clinical finding (finding), Clinical finding]; time elapsed: 6960 millisec.
Values: [714324006, 187639008, 116005007, 39607008]; time elapsed: 7337 millisec.
Values: [363787002]; time elapsed: 7363 millisec.
Values: [262581006, 125593007]; time elapsed: 7399 millisec.
Values: [123979008]; time elapsed: 7664 millisec.
Values: [Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder), COVID-19, Suspected disease caused by severe acute respiratory coronavirus 2 (situation), Suspected COVID-19, Severe acute respiratory syndrome coronavirus 2 vaccination (procedure), SARS-CoV-2 vaccination]; time elapsed: 8856 millisec.
Values: [Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder), COVID-19, Suspected disease caused by severe acute respiratory coronavirus 2 (situation), Suspected COVID-19, Severe acute respiratory syndrome coronavirus 2 vaccination (procedure), SARS-CoV-2 vaccination]; time elapsed: 9042 millisec.
Values: [subsumed-by]; time elapsed: 8888 millisec.
Values: [Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder), COVID-19, Suspected disease caused by severe acute respiratory coronavirus 2 (situation), Suspected COVID-19, Severe acute respiratory syndrome coronavirus 2 vaccination (procedure), SARS-CoV-2 vaccination]; time elapsed: 12874 millisec.
Values: [subsumed-by]; time elapsed: 16964 millisec.
Values: [Imaging observable]; time elapsed: 17677 millisec.
Values: [COVID-19]; time elapsed: 18287 millisec.
Values: [Left ear structure]; time elapsed: 19102 millisec.
Values: [not-subsumed]; time elapsed: 23239 millisec.
Values: [not-subsumed]; time elapsed: 23271 millisec.
Values: [not-subsumed]; time elapsed: 23267 millisec.
Values: [BooleanType[false]]; time elapsed: 24824 millisec.
Values: [BooleanType[false]]; time elapsed: 24879 millisec.
Values: [BooleanType[false]]; time elapsed: 24885 millisec.
Values: [BooleanType[false]]; time elapsed: 24909 millisec.
Values: [BooleanType[false]]; time elapsed: 26152 millisec.
Values: [BooleanType[false]]; time elapsed: 26716 millisec.
Values: [BooleanType[false]]; time elapsed: 26900 millisec.
Values: [Alzheimer's disease (disorder), Alzheimer's disease]; time elapsed: 2143 millisec.
Values: [758640006, 117590005]; time elapsed: 2170 millisec.
Values: [true]; time elapsed: 2694 millisec.
Values: [true]; time elapsed: 3117 millisec.
Values: [true]; time elapsed: 4374 millisec.
Values: [Left ear structure (body structure), Left ear structure]; time elapsed: 4360 millisec.
Values: [Hypothermia (finding), Hypothermia]; time elapsed: 4381 millisec.
Values: [Midazolam (substance), Midazolam]; time elapsed: 4332 millisec.
Values: [310611001]; time elapsed: 4946 millisec.
Values: [123979008]; time elapsed: 5310 millisec.
Values: [279982005, 52448006]; time elapsed: 5135 millisec.
Values: [Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder), COVID-19, Suspected disease caused by severe acute respiratory coronavirus 2 (situation), Suspected COVID-19, Severe acute respiratory syndrome coronavirus 2 vaccination (procedure), SARS-CoV-2 vaccination]; time elapsed: 6419 millisec.
Values: [Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder), COVID-19, Suspected disease caused by severe acute respiratory coronavirus 2 (situation), Suspected COVID-19, Severe acute respiratory syndrome coronavirus 2 vaccination (procedure), SARS-CoV-2 vaccination]; time elapsed: 6318 millisec.
Values: [Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder), COVID-19, Suspected disease caused by severe acute respiratory coronavirus 2 (situation), Suspected COVID-19, Severe acute respiratory syndrome coronavirus 2 vaccination (procedure), SARS-CoV-2 vaccination]; time elapsed: 6441 millisec.
Values: [Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder), COVID-19, Suspected disease caused by severe acute respiratory coronavirus 2 (situation), Suspected COVID-19, Severe acute respiratory syndrome coronavirus 2 vaccination (procedure), SARS-CoV-2 vaccination]; time elapsed: 6541 millisec.
Values: [Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder), COVID-19, Suspected disease caused by severe acute respiratory coronavirus 2 (situation), Suspected COVID-19, Severe acute respiratory syndrome coronavirus 2 vaccination (procedure), SARS-CoV-2 vaccination]; time elapsed: 6500 millisec.
Values: [Disease caused by severe acute respiratory syndrome coronavirus 2 (disorder), COVID-19, Suspected disease caused by severe acute respiratory coronavirus 2 (situation), Suspected COVID-19, Severe acute respiratory syndrome coronavirus 2 vaccination (procedure), SARS-CoV-2 vaccination]; time elapsed: 6545 millisec.
